,,,,,
Classes,,,,,
Ninjas,"São misteriosos e furtivos, unindo agilidade e precisão, o que os torna preparados para diversas atividades, excelentes para espionagem e combate. Recentemente, tem havido um grande número crescente de ninjas, apesar de, anos atrás, terem quase desaparecido. Acredita-se que a base dos ninjas fica nas montanhas, mas não se sabe ao certo. Pessoas já viram ninjas fazer coisas incríveis, como desaparecer de uma hora para outra e correr pelas paredes.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
samurai,"Possuem um grande senso de justiça e lealdade, sendo os mais habilidosos com a espada, como se fosse uma extensão do próprio corpo. Historicamente, nunca foram numerosos. A tradição samurai parece derivar de uma única família desconhecida, cujo paradeiro atual é um mistério. Diz-se que a tradição samurai remonta a muitos anos atrás e tem origens nos cavaleiros de outra classe. Aqueles que os viram dizem que são os mais rápidos de todos.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Guerreiros,"São nobres almas, geralmente provenientes de famílias humildes, e são os mais corajosos e valentes. Possuem grande força muscular, sendo os mais fortes entre os lutadores, elevando seus corpos ao limite através de treinamentos intensos. Além disso, dominam técnicas de luta desconhecidas. Muitos lutadores temem enfrentar guerreiros, pois são os únicos capazes de lutar de igual para igual, mesmo desarmados.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Guardião,"Uma classe derivada do conhecimento de cavaleiros e magos. São manipuladores de magia, porém não com tanta eficiência como os magos. São ótimos lutadores; os guardiões possuem controle de certas magias especiais, às quais os magos não têm acesso.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Mago,"Talvez seja a classe mais poderosa de lutadores, porém o desenvolvimento crescente de guardiães e monges, com suas magias especiais, tem diminuído o poder dos magos mais eficientes. São altamente inteligentes e possuem magias extremamente poderosas, superiores às de outras classes. No entanto, o número de magos tem diminuído gradualmente. No passado, existiam muitos magos de clãs familiares, mas hoje quase todos desapareceram por eventos desconhecidos.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Monge/Sacerdotisa,"Duas classes dominadoras de magias especiais, possuem um alto senso de humanidade, honestidade e espiritualidade. Suas magias são limitadas, porém abordam campos que os guardiões e magos não alcançam. Sempre estiveram em pouquíssimo número e, dos que se ouve falar, possuem paradeiro desconhecido.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Caçador,"Mestres na busca e destruição, extremamente hábeis com diversos tipos de armas. Possuem conhecimento vasto devido a serem viajantes por natureza, além de serem os mais destemidos. São os movimentadores dos mercados por serem capazes de encontrar artefatos místicos.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Cavaleiro,"São os mais honrados de todos os lutadores, muitos são nobres e geralmente vêm da nobreza. São excelentes lutadores na arte de lutar com duas espadas ou até espada e escudo, possuem um vigor físico grande, por isso usam armaduras poderosas. Dizem que dos ramos da linhagem dos cavaleiros surgiram os samurais e guardiões.",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Assassino,"Onde está a linha entre o bem e o mal? Entre um amigo e um inimigo? Não se sabe ao certo. Todas as classes possuem diferenças, assim como semelhanças, e quando alguém se torna um assassino, rompendo qualquer tipo de ética e moral, pessoal ou não, sabe-se que ninguém confia nele e ele não confia em ninguém. Um assassino sempre é mal visto onde quer que vá, porém sempre há aqueles que acreditam que é um mal necessário. Afinal, quem mais eliminaria alguém inconveniente? Assassinos são extremamente espertos, possuem uma alta percepção e velocidade. Sua experiência na luta e na vida, é claro, lhes permite ter sempre uma vantagem sobre os outros lutadores. Aqueles que já estiveram em contato com um assassino dizem que eles sempre falam: ""assassino não morre, assassino mata"".",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Humano Comum,,,,
,Arma,ATK/COM,DEF,Valor,Curso
,Faca*,12,1,8,
,Facão*,3,2,12,
,Adaga*,4,2,12,
,Adaga Dupla,5,2,20,duas armas *
,Espada de Madeira,3,3,20,armas leves **
,Bastão de Madeira,3,3,23,arma pesada ***
,Machadinha,4,1,25,arma pesada **
,,,,,
,Equipamentos,capacidade,OBS,Valor,
,Mochila Simples,10 coisas,,30,
,Mochila Media,20 coisas,,40,
,Mochila grande,40 coisas,,60,
,Cantil simples,2 l,"""+"" 5 hp",15,
,Cantil Regular,6 l,"""+"" 10 hp",35,
,Cantil Profissional,15l,"""+"" 15 hp",55,
,Pá,,para cavar,15,
,Madeira de construção,ocupa 5 espaços,para construir ou para lenha,50,
,Martelo,,ajuda a construir,20,
,Pregos,caixa,ajuda a construir,5,
